Date;Close
1992-01;8.15
1992-02;8.2
1992-03;8.23
1992-04;8.2
1992-05;8.3
1992-06;8.33
1992-07;8.35
1992-08;8.4
1992-09;8.37
1992-10;8.36
1992-11;8.16
1992-12;8.22
1993-01;7.84
1993-02;7.92
1993-03;7.85
1993-04;7.86
1993-05;7.83
1993-06;7.85
1993-07;7.91
1993-08;7.92
1993-09;7.82
1993-10;7.77
1993-11;7.71
1993-12;7.66
1994-01;7.62
1994-02;7.63
1994-03;7.58
1994-04;7.44
1994-05;7.64
1994-06;7.78
1994-07;7.81
1994-08;7.81
1994-09;7.76
1994-10;7.65
1994-11;7.67
1994-12;7.57
1995-01;7.46
1995-02;7.61
1995-03;7.68
1995-04;7.56
1995-05;7.65
1995-06;7.62
1995-07;7.66
1995-08;7.72
1995-09;7.62
1995-10;7.54
1995-11;7.65
1995-12;7.61
1996-01;7.56
1996-02;7.61
1996-03;7.6
1996-04;7.6
1996-05;7.86
1996-06;8.08
1996-07;8.14
1996-08;8.21
1996-09;8.15
1996-10;8.02
1996-11;7.98
1996-12;7.95
1997-01;7.64
1997-02;7.77
1997-03;7.73
1997-04;7.68
1997-05;8.22
1997-06;8.35
1997-07;8.33
1997-08;8.28
1997-09;8.24
1997-10;8.18
1997-11;8.13
1997-12;8.19
1998-01;7.93
1998-02;7.91
1998-03;7.8
1998-04;7.93
1998-05;7.87
1998-06;7.82
1998-07;7.81
1998-08;7.65
1998-09;7.5
1998-10;7.28
1998-11;7.22
1998-12;7.09
1999-01;6.86
1999-02;7.02
1999-03;6.94
1999-04;7.07
1999-05;6.95
1999-06;7.17
1999-07;7.58
1999-08;7.57
1999-09;7.53
1999-10;7.47
1999-11;7.47
1999-12;7.52
2000-01;7.5
2000-02;7.63
2000-03;7.51
2000-04;7.62
2000-05;7.84
2000-06;7.85
2000-07;8.04
2000-08;7.98
2000-09;7.94
2000-10;7.91
2000-11;8.09
2000-12;8.19
2001-01;8.15
2001-02;8.42
2001-03;8.8
2001-04;8.96
2001-05;9.01
2001-06;9.08
2001-07;9.08
2001-08;9.16
2001-09;8.87
2001-10;8.7
2001-11;8.62
2001-12;8.61
2002-01;8.39
2002-02;8.64
2002-03;8.39
2002-04;8.55
2002-05;8.51
2002-06;8.42
2002-07;8.61
2002-08;8.42
2002-09;8.37
2002-10;8.42
2002-11;8.35
2002-12;8.46
2003-01;8.32
2003-02;8.37
2003-03;8.39
2003-04;8.3
2003-05;8.44
2003-06;8.27
2003-07;8.49
2003-08;8.6
2003-09;8.62
2003-10;8.71
2003-11;8.47
2003-12;8.33
2004-01;8.24
2004-02;8.32
2004-03;8.37
2004-04;8.42
2004-05;8.46
2004-06;8.62
2004-07;8.79
2004-08;8.9
2004-09;8.77
2004-10;8.71
2004-11;8.61
2004-12;8.67
2005-01;8.53
2005-02;8.74
2005-03;8.71
2005-04;8.59
2005-05;8.69
2005-06;8.74
2005-07;8.91
2005-08;8.85
2005-09;8.9
2005-10;8.72
2005-11;8.8
2005-12;8.7
2006-01;8.69
2006-02;8.81
2006-03;8.77
2006-04;8.89
2006-05;8.93
2006-06;8.95
2006-07;9.06
2006-08;9.15
2006-09;9.2
2006-10;9.11
2006-11;9.16
2006-12;9.09
2007-01;9.07
2007-02;8.94
2007-03;9.1
2007-04;9.03
2007-05;9.12
2007-06;9.08
2007-07;9.29
2007-08;9.27
2007-09;9.33
2007-10;9.26
2007-11;9.3
2007-12;9.19
2008-01;9.27
2008-02;9.29
2008-03;9.2
2008-04;9.33
2008-05;9.4
2008-06;9.52
2008-07;9.53
2008-08;9.61
2008-09;9.55
2008-10;9.5
2008-11;9.52
2008-12;9.47
2009-01;9.46
2009-02;9.55
2009-03;9.52
2009-04;9.5
2009-05;9.63
2009-06;9.6
2009-07;9.56
2009-08;9.61
2009-09;9.59
2009-10;9.53
2009-11;9.41
2009-12;9.33
2010-01;9.26
2010-02;9.46
2010-03;9.39
2010-04;9.43
2010-05;9.45
2010-06;9.61
2010-07;9.59
2010-08;9.58
2010-09;9.63
2010-10;9.47
2010-11;9.48
2010-12;9.34
2011-01;9.46
2011-02;9.45
2011-03;9.64
2011-04;9.65
2011-05;9.74
2011-06;9.85
2011-07;9.92
2011-08;9.98
2011-09;9.87
2011-10;9.8
2011-11;9.74
2011-12;9.87
2012-01;9.82
2012-02;10.04
2012-03;10.01
2012-04;9.95
2012-05;10.18
2012-06;10.1
2012-07;10.23
2012-08;10.27
2012-09;10.22
2012-10;10.32
2012-11;10.29
2012-12;10.24
2013-01;10.39
2013-02;10.35
2013-03;10.51
2013-04;10.42
2013-05;10.52
2013-06;10.51
2013-07;10.55
2013-08;10.61
2013-09;10.4
2013-10;10.51
2013-11;10.57
2013-12;10.58
2014-01;10.57
2014-02;10.62
2014-03;10.57
2014-04;10.58
2014-05;10.53
2014-06;10.56
2014-07;10.67
2014-08;10.53
2014-09;10.43
2014-10;10.6
2014-11;10.61
2014-12;10.45
2015-01;10.41
2015-02;10.54
2015-03;10.46
2015-04;10.43
2015-05;10.47
2015-06;10.56
2015-07;10.54
2015-08;10.47
2015-09;10.35
2015-10;10.54
2015-11;10.42
2015-12;10.39
2016-01;10.77
2016-02;10.87
2016-03;10.79
2016-04;10.76
2016-05;10.8
2016-06;10.82
2016-07;10.87
2016-08;10.89
2016-09;10.74
2016-10;10.72
2016-11;10.76
2016-12;10.96
2017-01;10.7
2017-02;10.81
2017-03;10.9
2017-04;10.75
2017-05;10.93
2017-06;10.98
2017-07;11.02
2017-08;10.97
2017-09;10.83
2017-10;10.99
2017-11;11.1
2017-12;10.98
2018-01;10.9
2018-02;10.61
2018-03;11.01
2018-04;11.03
2018-05;10.88
2018-06;11.13
2018-07;11.13
2018-08;11.01
2018-09;11.1
2018-10;10.94
2018-11;10.92
2018-12;11.04
2019-01;11.0
2019-02;10.96
2019-03;11.01
2019-04;10.8
2019-05;10.89
2019-06;11.25
2019-07;11.2
2019-08;11.24
2019-09;11.21
2019-10;11.37
2019-11;11.4
2019-12;11.3
2020-01;11.4
2020-02;11.35
2020-03;11.49
2020-04;11.50
2020-05;11.51
2020-06;11.52
2020-07;11.52
2020-08;11.48
2020-09;11.43
2020-10;11.52
2020-11;11.53
2020-12;11.54
2021-01;11.48
2021-02;11.61
2021-03;11.58
2021-04;11.63
2021-05;11.71
2021-06;11.69
2021-07;11.38
2021-08;11.66
2021-09;11.51
2021-10;11.58
2021-11;11.59
2021-12;11.74
2022-01;11.35
2022-02;11.58
2022-03;11.63
2022-04;12.01
2022-05;12.0
2022-06;12.16
2022-07;12.26
2022-08;12.54
2022-09;12.4
2022-10;12.67
2022-11;12.93
2022-12;12.92
2023-01;12.76
2023-02;12.88
2023-03;12.99
2023-04;13.32
2023-05;13.27
2023-06;13.21
2023-07;13.29
2023-08;13.34
2023-09;13.1
2023-10;13.19
2023-11;13.2
2023-12;13.14
2024-01;13.09
2024-02;13.16
2024-03;13.42
2024-04;13.34
2024-05;13.29
2024-06;13.3
2024-07;13.31
2024-08;13.38
2024-09;13.34
2024-10;13.41
2024-11;13.27
2024-12;13.24
2025-01;13.29
2025-02;13.31
2025-03;13.53
2025-04;13.51
2025-05;13.53
2025-06;13.55
2025-07;13.69
2025-08;13.74
2025-09;13.53
