AAPL-Apple,MSFT-Microsoft
GOOG-Google,META-Meta
NVDA-Nvidia,INTC-Intel
TSLA-Tesla,TOYOF-Toyota
BMWYY-BMW,MBGAF-Mercedes
VOW3.DE-Volkswagen,RNSDF-Renault
RACE-Ferrari,POAHF-Porsche
NKE-Nike,ADDYY-Adidas
KO-CocaCola,PEP-Pepsi
V-Visa,MA-Mastercard
AXP-AmericanExpress,PYPL-PayPal
JPM-JPMorgan,GS-GoldmanSachs
TTE-TotalEnergies,XOM-ExxonMobil
CVX-Chevron,SHEL-Shell
GE-GeneralElectric,SIEGY-Siemens
DIS-Disney,NFLX-Netflix
SPOT-Spotify,AAPL-Apple
EA-ElectronicArts,ATVI-ActivisionBlizzard
PFE-Pfizer,MRNA-Moderna
JNJ-JohnsonJohnson,SNY-Sanofi
RHHBY-Roche,NVS-Novartis
MRK-Merck,AZN-AstraZeneca
TSLA-Tesla,NIO-Nio
ENPH-EnphaseEnergy,SEDG-SolarEdge
PLUG-PlugPower,BLDP-BallardPower
NEE-NextEraEnergy,DNNGY-Orsted

